"","update_date","update_time","qua_id","code_name","longitude","latitude","qua_cntu","qua_cl","qua_ph"
"1","2015-09-30","15:15:00  ","CS00        ","雙溪淨水場","121.56094","25.11574","0.02","0.63","7.2"
"2","2015-09-30","15:15:00  ","CS01        ","衛理女中","121.54401","25.10325","0.12","0.41","7.1"
"3","2015-09-30","15:15:00  ","CS02        ","雙溪國小                ","121.55557","25.10763","0.13","0.39","7.3"
"4","2015-09-30","15:15:00  ","CS03        ","華興加壓站","121.53476","25.10356","0.03","0.36","7.3"
"5","2015-09-30","15:15:00  ","CX00        ","長興淨水場","121.54043","25.01633","1.54","0.42","7.1"
"6","2015-09-30","15:15:00  ","CX02        ","市政大樓","121.55661","25.04250","0.09","0.45","7.8"
"7","2015-09-30","15:15:00  ","CX03        ","市議會","121.55360","25.04001","0.16","0.41","7.2"
"8","2015-09-30","15:15:00  ","CX04        ","捷運忠孝復興站","121.53551","25.04251","0.11","0.53","7.5"
"9","2015-09-30","15:15:00  ","CX05        ","南港高工","121.59892","25.05787","0.76","0.42","7.1"
"10","2015-09-30","15:15:00  ","CX06        ","南港加壓站","121.60829","25.04994","-9","0.44","6.9"
"11","2015-09-30","15:15:00  ","CX07        ","挹翠加壓站","121.56617","25.02339","0.06","0.51","7.3"
"12","2015-09-30","15:15:00  ","CX08        ","敦化國中                ","121.53852","25.05305","0.08","0.55","7.9"
"13","2015-09-30","15:15:00  ","GG00        ","公館淨水場","121.52221","25.01421","0.08","0.58","6.9"
"14","2015-09-30","15:15:00  ","GG01        ","捷運台北車站","121.50946","25.04860","0.84","0.55","7"
"15","2015-09-30","15:15:00  ","GG02        ","捷運中正紀念堂站","121.51198","25.03667","0.38","0.48","7"
"16","2015-09-30","15:15:00  ","GG03        ","萬華國中","121.49045","25.03069","0.06","0.44","7"
"17","2015-09-30","15:15:00  ","GG04        ","華江社區配水池","121.48482","25.03651","-9","0.33","7.2"
"18","2015-09-30","15:15:00  ","GG05        ","西門國小","121.49537","25.04475","0.41","0.51","7.1"
"19","2015-09-30","15:15:00  ","GG06        ","忠孝國小","121.52330","25.04445","0.08","0.43","7.1"
"20","2015-09-30","15:15:00  ","GG07        ","螢橋國小","121.50684","25.02738","0.13","0.43","7"
"21","2015-09-30","15:15:00  ","JT00        ","直潭淨水場               ","121.52536","24.94578","0.88","0.58","7.3"
"22","2015-09-30","15:15:00  ","JT02        ","伸仗板配水池","121.53502","24.93163","-9","-9","-9"
"23","2015-09-30","15:15:00  ","JT10        ","中和加壓站","121.51252","24.99116","0.26","0.53","7.2"
"24","2015-09-30","15:15:00  ","JT11        ","安康加壓站","121.50043","24.96287","0.23","0.57","7.4"
"25","2015-09-30","15:15:00  ","JT12        ","頂溪站","121.50717","25.01439","0.44","0.54","7.4"
"26","2015-09-30","15:15:00  ","JT13        ","中和國小","121.49252","25.00055","0.54","0.43","7.6"
"27","2015-09-30","15:15:00  ","JT14        ","積穗國小","121.47342","25.00029","0.5","0.57","7.4"
"28","2015-09-30","15:15:00  ","JT15        ","捷運大坪林站","121.53337","24.98410","-9","0.54","7.2"
"29","2015-09-30","15:15:00  ","JT16        ","十二張加壓站","121.54142","24.96792","0.23","0.54","7.2"
"30","2015-09-30","15:15:00  ","JT17        ","景美女中","121.54800","24.98227","1.57","0.56","7.3"
"31","2015-09-30","15:15:00  ","JT18        ","木柵動物園","121.57299","25.00022","-9","-9","-9"
"32","2015-09-30","15:15:00  ","JT20        ","公館加壓站","121.52207","25.01300","0.42","0.51","7.5"
"33","2015-09-30","15:15:00  ","JT21        ","萬芳二號配水池","121.55794","25.00461","0.64","0.61","7.1"
"34","2015-09-30","15:15:00  ","JT22        ","指南二加壓站","121.57322","24.97858","0.78","0.44","7.2"
"35","2015-09-30","15:15:00  ","JT23        ","木柵二期配水池","121.57822","24.98869","-9","0.36","7.2"
"36","2015-09-30","15:15:00  ","JT24        ","三重加壓站","121.48565","25.06458","-9","0.64","7.2"
"37","2015-09-30","15:15:00  ","JT25        ","新北高中","121.48253","25.05676","0.44","0.48","7"
"38","2015-09-30","15:15:00  ","JT26        ","指南六加壓站","121.57899","24.96866","0.32","0.25","8"
"39","2015-09-30","15:15:00  ","JT30        ","大同加壓站","121.52114","25.07032","0.47","0.46","7.4"
"40","2015-09-30","15:15:00  ","JT31        ","麗山國中","121.56421","25.08504","-9","0.49","7.5"
"41","2015-09-30","15:15:00  ","JT32        ","重慶國中","121.50988","25.07802","0.79","0.48","7.4"
"42","2015-09-30","15:15:00  ","JT33        ","台北海洋技術學院","121.46268","25.10985","0.85","0.3","-9"
"43","2015-09-30","15:15:00  ","JT34        ","介壽國中","121.54829","25.05794","1.21","0.47","7.2"
"44","2015-09-30","15:15:00  ","JT35        ","士林國中","121.50809","25.09652","0.47","0.58","7.4"
"45","2015-09-30","15:15:00  ","JT36        ","陽明高中","121.50891","25.09335","0.33","0.49","7.5"
"46","2015-09-30","15:15:00  ","JT37        ","捷運石牌站","121.50743","25.11584","-9","0.46","7.3"
"47","2015-09-30","15:15:00  ","JT38        ","天母加壓站","121.52530","25.12182","0.48","0.5","7.2"
"48","2015-09-30","15:15:00  ","JT39        ","關渡國小","121.45823","25.12799","0.91","0.41","7.6"
"49","2015-09-30","15:15:00  ","JT40        ","捷運淡水站","121.43730","25.16947","-9","-9","-9"
"50","2015-09-30","15:15:00  ","JT41        ","北投第4配水池","121.49650","25.14770","-9","-9","-9"
"51","2015-09-30","15:15:00  ","JT42        ","北投加壓站","121.49316","25.12045","0.85","0.57","7.2"
"52","2015-09-30","15:15:00  ","JT50        ","松山加壓站","121.55965","25.06639","0.79","0.6","7.2"
"53","2015-09-30","15:15:00  ","JT51        ","內溝里加壓站","121.61561","25.08017","-9","-9","-9"
"54","2015-09-30","15:15:00  ","JT52        ","潭美國小","121.58255","25.06248","0.84","0.48","7.4"
"55","2015-09-30","15:15:00  ","JT53        ","東湖國中","121.58088","25.07750","-9","-9","-9"
"56","2015-09-30","15:15:00  ","JT54        ","民生加壓站","121.54186","25.14058","0.63","0.46","7.2"
"57","2015-09-30","15:15:00  ","JT55        ","興隆公營住宅1區","121.55806","24.98833","0.21","0.49","7.7"
"58","2015-09-30","15:15:00  ","YM00        ","陽明淨水場","121.52388","25.15261","0.04","0.58","7"
"59","2015-09-30","15:15:00  ","YM01        ","隧道                  ","121.50303","25.14582","0.01","0.47","6.6"
"60","2015-09-30","15:15:00  ","YM02        ","中正路配水池                 ","121.53615","25.15329","0.08","0.53","6.8"
"61","2015-09-30","15:15:00  ","YM03        ","中山樓                 ","121.54510","25.15725","0.13","0.53","6.7"
"62","2015-09-30","15:15:00  ","YM04        ","鹿角坑(三加)","121.54746","25.18501","0.22","0.51","7.1"
"63","2015-09-30","15:15:00  ","YM05        ","泉源國小","121.51595","25.15081","-9","-9","-9"
"64","2015-09-30","15:15:00  ","YM06        ","三角埔加壓站","121.52562","25.12964","0.04","0.49","6.8"
